Geographic area,PPCS
Alabama........................................................................,"9,511"
Alaska...........................................................................,"17,838"
Arizona...........................................................................,"8,004"
Arkansas........................................................................,"9,967"
California........................................................................,"12,145"
Colorado.........................................................................,"9,809"
Connecticut....................................................................,"19,322"
Delaware........................................................................,"15,302"
District of Columbia..........................................................,"21,974"
Florida............................................................................,"9,075"
Georgia..........................................................................,"10,205"
Hawaii...........................................................................,"14,322"
Idaho..............................................................................,"7,486"
Illinois............................................................................,"15,337"
Indiana...........................................................................,"10,045"
Iowa..............................................................................,"11,461"
Kansas..........................................................................,"10,961"
Kentucky........................................................................,"10,121"
Louisiana........................................................................,"11,199"
Maine.............................................................................,"13,690"
Maryland........................................................................,"14,848"
Massachusetts................................................................,"16,193"
Michigan........................................................................,"11,907"
Minnesota......................................................................,"12,647"
Mississippi.....................................................................,"8,771"
Missouri........................................................................,"10,589"
Montana........................................................................,"11,457"
Nebraska.......................................................................,"12,579"
Nevada...........................................................................,"9,320"
New Hampshire...............................................................,"15,683"
New Jersey.....................................................................,"18,920"
New Mexico...................................................................,"9,881"
New York.......................................................................,"23,091"
North Carolina.................................................................,"9,072"
North Dakota...................................................................,"13,760"
Ohio...............................................................................,"12,645"
Oklahoma.......................................................................,"7,959"
Oregon...........................................................................,"11,264"
Pennsylvania..................................................................,"15,798"
Rhode Island...................................................................,"15,962"
South Carolina.................................................................,"10,590"
South Dakota..................................................................,"9,939"
Tennessee.......................................................................,"9,184"
Texas.............................................................................,"9,375"
Utah................................................................................,"7,179"
Vermont..........................................................................,"18,290"
Virginia...........................................................................,"11,886"
Washington.....................................................................,"11,989"
West Virginia...................................................................,"11,554"
Wisconsin.......................................................................,"11,968"
Wyoming.........................................................................,"16,537"
